Id,Temperature (K),Pressure (kPa),Phase,N Components,Component 1,Role 1,Mole Fraction 1,Exact Amount 1,Component 2,Role 2,Mole Fraction 2,Exact Amount 2,Component 3,Role 3,Mole Fraction 3,Exact Amount 3,Density Value (g / ml),Density Uncertainty (g / ml),Source
2ea6f5f79668449ea0e2987ff39c63b1,298.15,101.0,Liquid,2,COC=O,Solvent,0.811,,ClCCCCCCCl,Solvent,0.18899999999999995,,,,,,0.9966000000000003,0.00016500000000000005,10.1016/j.jct.2006.10.008
bbccbfe624d44ce4b8176a893423401b,298.15,101.0,Liquid,2,COC=O,Solvent,0.8479,,ClCCCCCCCl,Solvent,0.1521,,,,,,0.9913600000000002,0.00016500000000000005,10.1016/j.jct.2006.10.008
49284a1c90e14033b63a4074868b4245,298.15,101.0,Liquid,2,COC=O,Solvent,0.8838,,ClCCCCCCCl,Solvent,0.11619999999999997,,,,,,0.9860300000000002,0.00017000000000000004,10.1016/j.jct.2006.10.008
c0831be640c64f3799260a6534118498,298.15,101.0,Liquid,2,COC=O,Solvent,0.9163,,ClCCCCCCCl,Solvent,0.0837,,,,,,0.9809600000000003,0.00017500000000000003,10.1016/j.jct.2006.10.008
e828999723d744bbb4779c2709860833,298.15,101.0,Liquid,2,COC=O,Solvent,0.9461,,ClCCCCCCCl,Solvent,0.05389999999999995,,,,,,0.9760000000000002,0.00017500000000000003,10.1016/j.jct.2006.10.008
9151aa9299cc49db9aa5dd844e473032,298.15,101.0,Liquid,2,COC=O,Solvent,0.9737,,ClCCCCCCCl,Solvent,0.02629999999999999,,,,,,0.9707000000000002,0.00018000000000000004,10.1016/j.jct.2006.10.008
ef0960ed22bb4bd4873379966e61c13f,298.15,101.0,Liquid,2,CCOC=O,Solvent,0.0571,,ClCCCl,Solvent,0.9429,,,,,,1.2260600000000001,0.0003900000000000001,10.1016/j.jct.2006.10.008
3e42c7a9bb45472284a506210b8acc54,298.15,101.0,Liquid,2,CCOC=O,Solvent,0.1212,,ClCCCl,Solvent,0.8788,,,,,,1.2048000000000003,0.0003650000000000001,10.1016/j.jct.2006.10.008
87ee3c97146c464390d1ea081ad59632,298.15,101.0,Liquid,2,CCOC=O,Solvent,0.1793,,ClCCCl,Solvent,0.8207,,,,,,1.1857900000000003,0.00034500000000000004,10.1016/j.jct.2006.10.008
c74ac34b5cdc45bd8a708314043dc114,298.15,101.0,Liquid,2,CCOC=O,Solvent,0.2317,,ClCCCl,Solvent,0.7683,,,,,,1.1687800000000002,0.0003300000000000001,10.1016/j.jct.2006.10.008
04cdeeeb9bfd44e2b494746ef929204d,298.15,101.0,Liquid,2,CCOC=O,Solvent,0.2946,,ClCCCl,Solvent,0.7054,,,,,,1.1483500000000002,0.00031000000000000005,10.1016/j.jct.2006.10.008
7bbea67614e546f99cb1bfb6c6fdc1dc,298.15,101.0,Liquid,2,CCOC=O,Solvent,0.355,,ClCCCl,Solvent,0.645,,,,,,1.1289000000000005,0.00029000000000000006,10.1016/j.jct.2006.10.008
8f0da2e39e8d4c49accfa7340868c690,298.15,101.0,Liquid,2,CCOC=O,Solvent,0.4144,,ClCCCl,Solvent,0.5856,,,,,,1.1097600000000003,0.00027000000000000006,10.1016/j.jct.2006.10.008
572ae7057e6b430bbb10a1614b4e1b2c,298.15,101.0,Liquid,2,CCOC=O,Solvent,0.465,,ClCCCl,Solvent,0.5349999999999999,,,,,,1.0936600000000003,0.00025500000000000007,10.1016/j.jct.2006.10.008
106ce677632e4120b5fa92bce9572ed3,298.15,101.0,Liquid,2,CCOC=O,Solvent,0.5294,,ClCCCl,Solvent,0.4706,,,,,,1.0732400000000002,0.00023500000000000005,10.1016/j.jct.2006.10.008
9ef7ced90871490e8501f939ce41cdd8,298.15,101.0,Liquid,2,CCOC=O,Solvent,0.5889,,ClCCCl,Solvent,0.4111,,,,,,1.0544900000000001,0.00021500000000000005,10.1016/j.jct.2006.10.008
722a3429627e4cb29e62f07961021d15,298.15,101.0,Liquid,2,CCOC=O,Solvent,0.6485,,ClCCCl,Solvent,0.35150000000000003,,,,,,1.0358800000000004,0.00019500000000000005,10.1016/j.jct.2006.10.008
f4808b7e479942f48d8931a632a90213,298.15,101.0,Liquid,2,CCOC=O,Solvent,0.7065,,ClCCCl,Solvent,0.2935,,,,,,1.0176100000000003,0.00018000000000000004,10.1016/j.jct.2006.10.008
a73f6888cf164fc2a763ca1fb8db23f0,298.15,101.0,Liquid,2,CCOC=O,Solvent,0.7648,,ClCCCl,Solvent,0.23519999999999996,,,,,,0.9995200000000002,0.00016000000000000004,10.1016/j.jct.2006.10.008
c66aeda8cd734a2ba91ad66868bbfe6b,298.15,101.0,Liquid,2,CCOC=O,Solvent,0.8239,,ClCCCl,Solvent,0.17610000000000003,,,,,,0.9810600000000002,0.00017500000000000003,10.1016/j.jct.2006.10.008
8a58376a147b498b977a5a4aacaaede6,298.15,101.0,Liquid,2,CCOC=O,Solvent,0.8823,,ClCCCl,Solvent,0.11770000000000003,,,,,,0.9629600000000003,0.00018500000000000005,10.1016/j.jct.2006.10.008
fa7c97b233b24a8da1ea6832c69de7b8,298.15,101.0,Liquid,2,CCOC=O,Solvent,0.9345,,ClCCCl,Solvent,0.0655,,,,,,0.9469000000000002,0.00019500000000000005,10.1016/j.jct.2006.10.008
9f8edfe80e294b6b9161c29d9ce94369,298.15,101.0,Liquid,2,CCOC=O,Solvent,0.0758,,ClCCCCl,Solvent,0.9242,,,,,,1.1618200000000003,0.0003200000000000001,10.1016/j.jct.2006.10.008
