,Id,Temperature (K),Pressure (kPa),Phase,N Components,Component 1,Role 1,Mole Fraction 1,Exact Amount 1,Component 2,Role 2,Mole Fraction 2,Exact Amount 2,Component 3,Role 3,Mole Fraction 3,Exact Amount 3,Density Value (g / ml),Density Uncertainty (g / ml),OsmoticCoefficient Value (),OsmoticCoefficient Uncertainty (),Source
81,f2868a6f024b4e5080b1910b53c1b1ca,298.15,101.0,Liquid,3,NCC(=O)O,Solvent,0.003526820619403094,,O=[N+]([O-])[O-].[Na+],Solvent,0.01763410309701547,,O,Solvent,0.9788390762835814,,,,0.86,0.0055,10.1016/j.jct.2013.08.018
82,3287cc58104e404c8814d96466c03078,298.15,101.0,Liquid,3,NCC(=O)O,Solvent,0.00702885173956038,,O=[N+]([O-])[O-].[Na+],Solvent,0.01757212934890095,,O,Solvent,0.9753990189115387,,,,0.85,0.0055,10.1016/j.jct.2013.08.018
83,64bc26efe64248c58d5b192f7794c88b,298.15,101.0,Liquid,3,NCC(=O)O,Solvent,0.01395958363540153,,O=[N+]([O-])[O-].[Na+],Solvent,0.01744947954425191,,O,Solvent,0.9685909368203466,,,,0.861,0.0055,10.1016/j.jct.2013.08.018
84,cc9481dffb3c445c8af473bc46b9f9be,298.15,101.0,Liquid,2,O=[N+]([O-])[O-].[Na+],Solvent,0.017696515532888448,,O,Solvent,0.9823034844671115,,,,,,,,0.854,0.0055,10.1016/j.jct.2013.08.018
85,3cba42015ed547a69c72dfbb70087e1a,298.15,101.0,Liquid,3,NCC(=O)O,Solvent,0.003526820619403094,,O=[N+]([O-])[O-].[Na+],Solvent,0.01763410309701547,,O,Solvent,0.9788390762835814,,,,0.834,0.006,10.1016/j.jct.2013.08.018
86,f42d6dd77c904b7fbd3432662cddb4ab,298.15,101.0,Liquid,3,NCC(=O)O,Solvent,0.007081194832592453,,O=[N+]([O-])[O-].[Na+],Solvent,0.017571203058542068,,O,Solvent,0.9753476021088655,,,,0.832,0.006,10.1016/j.jct.2013.08.018
87,324e968a16f0440081f0a498dc037f8b,298.15,101.0,Liquid,3,NCC(=O)O,Solvent,0.010558330928958462,,O=[N+]([O-])[O-].[Na+],Solvent,0.017509669865602758,,O,Solvent,0.9719319992054387,,,,0.826,0.006,10.1016/j.jct.2013.08.018
88,685264fc04894318add8361e2e49f2e7,298.15,101.0,Liquid,3,NCC(=O)O,Solvent,0.014166011115678312,,O=[N+]([O-])[O-].[Na+],Solvent,0.017445826497140778,,O,Solvent,0.968388162387181,,,,0.816,0.006,10.1016/j.jct.2013.08.018
89,33e76e4b2e50491ab6ba15a8b5be6eb4,298.15,101.0,Liquid,3,NCC(=O)O,Solvent,0.017405880588782147,,O=[N+]([O-])[O-].[Na+],Solvent,0.017388492096685464,,O,Solvent,0.9652056273145324,,,,0.81,0.006,10.1016/j.jct.2013.08.018
90,6282982c7b6a465d9f128ce4f91bde93,298.15,101.0,Liquid,3,NCC(=O)O,Solvent,0.02070938768087999,,O=[N+]([O-])[O-].[Na+],Solvent,0.017330031532117148,,O,Solvent,0.9619605807870029,,,,0.816,0.006,10.1016/j.jct.2013.08.018
91,e062aaab5ede46418791031994984eac,298.15,101.0,Liquid,3,NCC(=O)O,Solvent,0.024226705528847634,,O=[N+]([O-])[O-].[Na+],Solvent,0.01726778726218648,,O,Solvent,0.9585055072089659,,,,0.815,0.006,10.1016/j.jct.2013.08.018
92,c1bab6006a844a58a0b494ad13299f5c,298.15,101.0,Liquid,3,NCC(=O)O,Solvent,0.027668657735994705,,O=[N+]([O-])[O-].[Na+],Solvent,0.017206876701489245,,O,Solvent,0.9551244655625161,,,,0.805,0.006,10.1016/j.jct.2013.08.018
93,d0cc483f25b042248404bcd23f785a19,298.15,101.0,Liquid,3,NCC(=O)O,Solvent,0.03082052600929287,,O=[N+]([O-])[O-].[Na+],Solvent,0.017151099615633204,,O,Solvent,0.9520283743750739,,,,0.817,0.006,10.1016/j.jct.2013.08.018
94,eff194dcbf704508a6bae1db1cd510a5,298.15,101.0,Liquid,3,NCC(=O)O,Solvent,0.03403459557135542,,O=[N+]([O-])[O-].[Na+],Solvent,0.01709422178370438,,O,Solvent,0.9488711826449402,,,,0.818,0.006,10.1016/j.jct.2013.08.018
95,889b7f8e41294c72b9e6f1238d9797e2,298.15,101.0,Liquid,3,NCC(=O)O,Solvent,0.037079764403805594,,O=[N+]([O-])[O-].[Na+],Solvent,0.01704033290616066,,O,Solvent,0.9458799026900336,,,,0.806,0.006,10.1016/j.jct.2013.08.018
